Summary,Issue Type,Priority,Parent,Description,Labels,Story Points
"Criar VideoPreview component",Sub-task,High,Refatorar CaptureStudio.tsx em componentes menores,"Extrair preview de vídeo + overlays de zona para src/components/capture/VideoPreview.tsx. Inclui: elemento video, canvas, overlays de zona com drag/resize, seleção de região.",frontend;refactor,2
"Criar CaptureControls component",Sub-task,High,Refatorar CaptureStudio.tsx em componentes menores,"Extrair botões de controle para src/components/capture/CaptureControls.tsx: seleção de tela/janela, iniciar/pausar/parar, status da captura.",frontend;refactor,1
"Criar ZoneEditor component",Sub-task,Medium,Refatorar CaptureStudio.tsx em componentes menores,"Extrair editor de zonas para src/components/capture/ZoneEditor.tsx: lista de zonas, adicionar/remover, editar nome/role/cor, presets.",frontend;refactor,2
"Criar CaptureEventLog component",Sub-task,Medium,Refatorar CaptureStudio.tsx em componentes menores,"Extrair log de eventos para src/components/capture/CaptureEventLog.tsx: lista de CaptureEvents, TypewriterText, download de log.",frontend;refactor,1
"Criar CaptureSettings component",Sub-task,Medium,Refatorar CaptureStudio.tsx em componentes menores,"Extrair configurações para src/components/capture/CaptureSettings.tsx: sliders de magnificação, contraste, brilho, intervalo, debug mode.",frontend;refactor,1
"Criar PipelineStatus component",Sub-task,Low,Refatorar CaptureStudio.tsx em componentes menores,"Extrair pipeline visual para src/components/capture/PipelineStatus.tsx: indicadores Fonte→Zonas→OCR→Autopilot com status ativo/inativo.",frontend;refactor,1
"Criar PersonaProfile component",Sub-task,High,Refatorar AIPersonaTrainer.tsx em componentes menores,"Extrair perfil da persona: textarea do prompt, nome, modo, botões salvar/restaurar. src/components/persona/PersonaProfile.tsx",frontend;refactor,1
"Criar PersonaDirectionControls component",Sub-task,Medium,Refatorar AIPersonaTrainer.tsx em componentes menores,"Extrair sliders de direção: energia, acolhimento, segurança, criatividade, comprimento de resposta. src/components/persona/PersonaDirectionControls.tsx",frontend;refactor,1
"Criar ManualTestComposer component",Sub-task,High,Refatorar AIPersonaTrainer.tsx em componentes menores,"Extrair compositor de teste manual: textarea, botão gerar, indicador de processamento, erros. src/components/persona/ManualTestComposer.tsx",frontend;refactor,1
"Criar ResponseTimeline component",Sub-task,Medium,Refatorar AIPersonaTrainer.tsx em componentes menores,"Extrair timeline de respostas: última resposta destacada + histórico. src/components/persona/ResponseTimeline.tsx",frontend;refactor,1
"Criar VoiceSettings component",Sub-task,Medium,Refatorar AIPersonaTrainer.tsx em componentes menores,"Extrair configurações de voz: seleção de voz, toggle TTS. src/components/persona/VoiceSettings.tsx",frontend;refactor,1
"Criar AutopilotControls component",Sub-task,High,Refatorar LiveAutopilotConsole.tsx em componentes menores,"Extrair controles do autopilot: iniciar/pausar, modo teste, resetar, toggle voz. src/components/live/AutopilotControls.tsx",frontend;refactor,1
