Summary,Issue Type,Priority,Epic Link,Description,Labels,Story Points,Status
"Refatorar CaptureStudio.tsx em componentes menores",Story,High,FASE 2 — MVP Estável,"Quebrar CaptureStudio.tsx (1518 linhas) em: VideoPreview, ZoneOverlay, CaptureControls, CaptureEventLog, CaptureSettings, PipelineStatus. Cada componente <= 300 linhas com props tipadas. AC: Nenhum componente > 300 linhas | Todos os testes existentes continuam passando | Funcionalidade idêntica ao original",refactor;frontend,8,To Do
"Refatorar AIPersonaTrainer.tsx em componentes menores",Story,High,FASE 2 — MVP Estável,"Quebrar AIPersonaTrainer.tsx (843 linhas) em: PersonaProfile, PersonaControls, ManualTestComposer, ResponseTimeline, VoiceSettings, MemoryPanel, UserProfilePanel, SystemHealth. AC: Nenhum componente > 300 linhas | Props tipadas sem any",refactor;frontend,5,To Do
"Refatorar LiveAutopilotConsole.tsx em componentes menores",Story,High,FASE 2 — MVP Estável,"Quebrar LiveAutopilotConsole.tsx (854 linhas) em: AutopilotControls, SimulationPanel, ManualEventInput, CycleTimeline, ActionQueue, ToolRegistryPanel, RulesPanel, SystemHealthSidebar. AC: Nenhum componente > 300 linhas",refactor;frontend,5,To Do
"Criar shared UI components library",Story,Medium,FASE 2 — MVP Estável,"Extrair componentes repetidos (StatusDot, StatusChip, SliderControl, StepPill) para src/components/ui/. Eliminar duplicação entre CaptureStudio e AIPersonaTrainer. AC: Zero duplicação de componentes UI | Storybook ou page de demo opcional",refactor;frontend,3,To Do
"Configurar Vitest e criar testes para core modules",Story,Highest,FASE 2 — MVP Estável,"Configurar Vitest. Testes para: eventClassifier (todos os tipos), automationRules (match + materialize), toolRegistry, eventBus, memory (addTurn, trackUserInteraction, extractUsername). AC: Cobertura >= 80% nos core modules | npm test passa em CI",testing;frontend,8,To Do
"Criar testes unitários para personaRuntime.ts",Story,Highest,FASE 2 — MVP Estável,"Testar: normalizeDecision, buildLocalDecision, mergeActions, runPersonaRound (mock fetch), choosePrimaryEvent, eventPriority. AC: Cobertura >= 75% | Testes de fallback local cobertos",testing;frontend,5,To Do
"Criar testes unitários para actionExecutor.ts",Story,High,FASE 2 — MVP Estável,"Testar: executeAction com tool enabled/disabled/simulated/approval_required, playTts mock, actionSummary, dispatch n8n mock. AC: Todos os status de ação testados (done, simulated, blocked, error, approval_required)",testing;frontend,3,To Do
"Configurar pytest e criar testes para backend Python",Story,Highest,FASE 2 — MVP Estável,"Configurar pytest + httpx. Testar: /health, /ocr (imagem mock), /ai/respond (mock Gemini/OpenAI), /ai/decide, /tts, /n8n/dispatch. Testar: get_new_text, normalize_decision, extract_json_object. AC: Cobertura >= 70% | pytest passa em CI",testing;backend,8,To Do
"Configurar Playwright e criar testes E2E básicos",Story,High,FASE 2 — MVP Estável,"5 cenários E2E: navegação entre abas, health check visual, teste manual persona (mock backend), injeção de evento no Controle Live, simulação com cenário pré-definido. AC: 5 testes E2E passando | Executáveis em CI headless",testing;e2e,5,To Do
"Implementar persistência SQLite no backend",Story,High,FASE 2 — MVP Estável,"Substituir JSON em disco por SQLite: eventos capturados, ciclos de auditoria, tarefas do projeto, runs do organizer. Usar aiosqlite ou sqlite3. Migração lê JSONs existentes. AC: Todos endpoints mantém funcionalidade | Dados sobrevivem restart do backend",backend;database,8,To Do
"Migrar memória e perfis de localStorage para backend",Story,High,FASE 2 — MVP Estável,"Endpoints REST: GET/POST /memory/turns, GET/POST /users/profiles. Frontend salva no backend, localStorage como cache offline. Backend persiste em SQLite. AC: Memória persiste entre browsers | Fallback offline funciona",backend;frontend,8,To Do
"Adicionar retry e circuit breaker para chamadas IA",Story,Medium,FASE 2 — MVP Estável,"Retry com backoff exponencial (max 3 tentativas) para Gemini/OpenAI. Circuit breaker: desativa provider após 5 falhas, retenta a cada 60s. AC: Falha temporária não derruba o autopilot | Log de circuit breaker events",backend;resilience,5,To Do
"Implementar sistema de notificações Toast no frontend",Story,Medium,FASE 2 — MVP Estável,"Componente Toast/Notification global com fila. Substituir estados de erro isolados. Tipos: success, error, warning, info. Auto-dismiss configurável. AC: Erros do backend mostram Toast | Ação sugerida quando aplicável",frontend;ux,3,To Do
"Configurar ESLint + Prettier (frontend) e ruff (backend)",Story,Medium,FASE 2 — MVP Estável,"ESLint + Prettier frontend. ruff para backend Python. Scripts: lint, lint:fix, format. AC: npm run lint passa sem erros | ruff check server/ passa | Pre-commit hook configurado",devops;quality,3,To Do
"Refatorar server/main.py em módulos",Story,High,FASE 2 — MVP Estável,"Quebrar main.py (1797 linhas) em: routes/ocr.py, routes/ai.py, routes/tts.py, routes/n8n.py, routes/project.py, services/gemini.py, services/openai_client.py, utils.py. AC: Nenhum módulo > 400 linhas | Import paths atualizados | Todos testes passando",refactor;backend,8,To Do
"Validar schema de respostas IA com Pydantic",Story,Medium,FASE 2 — MVP Estável,"Pydantic models para resposta JSON do /ai/decide. Validar: actions[].type válido, speech não vazio, confidence 0-1. Logar respostas inválidas. AC: Respostas malformadas não crasham o ciclo | Log de schema violations",backend;quality,3,To Do
"Otimizar performance do OCR",Story,Medium,FASE 2 — MVP Estável,"Avaliar: GPU no EasyOCR, Tesseract alternativo, cache por zona (skip se imagem não mudou), zonas em paralelo com asyncio. AC: Latência média < 800ms por zona | CPU usage 20% menor em captura contínua",backend;performance,5,To Do
"Documentar API com OpenAPI/Swagger",Story,Low,FASE 2 — MVP Estável,"Docstrings e response_model em todos endpoints FastAPI. /docs exibe documentação completa. Exemplos de request/response. AC: Todos endpoints documentados | Exemplos funcionais no Swagger",docs;backend,3,To Do
